Date,Day,Positive Tests,Not Positive Tests,Total Tests,Tests - Age 0-17,Tests - Age 18-29,Tests - Age 30-39,Tests - Age 40-49,Tests - Age 50-59,Tests - Age 60-69,Tests - Age 70-79,Tests - Age 80+,Tests - Age Unknown,Tests - Female,Tests - Male,Tests - Gender Unknown,Tests - Latinx,Tests - Asian Non-Latinx,Tests - Black Non-Latinx,Tests - White Non-Latinx,Tests - Other Race Non-Latinx,Tests - Unknown Race/Ethnicity,Positive Tests - Age 0-17,Positive Tests - Age 18-29,Positive Tests - Age 30-39,Positive Tests - Age 40-49,Positive Tests - Age 50-59,Positive Tests - Age 60-69,Positive Tests - Age 70-79,Positive Tests - Age 80+,Positive Tests - Age Unknown,Positive Tests - Female,Positive Tests - Male,Positive Tests - Unknown Gender,Positive Tests - Latinx,Positive Tests - Asian Non-Latinx,Positive Tests - Black Non-Latinx,Positive Tests - White Non-Latinx,Positive Tests - Other Race Non-Latinx,Positive Tests - Unknown Race/Ethnicity,Not-Positive Tests - Age 0-17,Not-Positive Tests - Age 18-29,Not-Positive Tests - Age 30-39,Not-Positive Tests - Age 40-49,Not-Positive Tests - Age 50-59,Not-Positive Tests - Age 60-69,Not-Positive Tests - Age 70-79,Not-Positive Tests - Age 80+,Not-Positive Tests - Age Unknown,Not-Positive Tests - Female,Not-Positive Tests - Male,Not-Positive Tests - Gender Unknown,Not-Positive Tests - Latinx,Not-Positive Tests - Asian Non-Latinx,Not-Positive Tests - Black Non-Latinx,Not-Positive Tests - White Non-Latinx,Not-Positive Tests - Other Race Non-Latinx,Not-Positive Tests - Unknown Race/Ethnicity
03/13/2020,Friday,11,108,119,11,25,31,16,15,9,8,4,0,50,51,18,13,7,15,23,1,60,0,2,4,1,1,2,0,1,0,4,7,0,2,1,2,5,0,1,11,23,27,15,14,7,8,3,0,46,44,18,11,6,13,18,1,59
03/08/2020,Sunday,2,15,17,2,3,5,3,1,1,1,1,0,2,14,1,1,0,4,8,0,4,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,2,3,5,2,1,1,0,1,0,2,12,1,1,0,4,6,0,4
03/02/2020,Monday,0,5,5,0,1,0,2,2,0,0,0,0,3,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,3,2,0,2,1,0,2,0,0
03/07/2020,Saturday,3,8,11,0,1,1,5,2,0,2,0,0,11,0,0,0,0,4,7,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,1,1,5,1,0,0,0,0,8,0,0,0,0,2,6,0,0
03/03/2020,Tuesday,0,9,9,3,3,1,0,0,1,1,0,0,4,5,0,2,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,1,0,0,4,5,0,2,2,1,3,0,1
03/01/2020,Sunday,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
03/14/2020,Saturday,12,127,139,7,29,19,28,19,17,9,5,6,71,65,3,13,4,33,45,5,39,0,1,2,2,2,1,2,1,1,8,4,0,1,0,5,5,0,1,7,28,17,26,17,16,7,4,5,63,61,3,12,4,28,40,5,38
03/05/2020,Thursday,1,12,13,0,2,0,3,4,2,1,1,0,3,10,0,2,0,6,3,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,3,2,1,1,0,2,10,0,2,0,5,3,0,2
03/10/2020,Tuesday,9,47,56,8,12,14,5,7,2,6,1,1,30,25,1,7,3,5,26,5,10,1,1,3,1,0,0,2,1,0,6,3,0,0,1,1,6,1,0,7,11,11,4,7,2,4,0,1,24,22,1,7,2,4,20,4,10
03/15/2020,Sunday,19,153,172,17,33,39,25,20,19,13,5,1,90,81,1,24,7,51,41,6,43,0,2,4,4,2,2,3,1,1,8,11,0,3,1,6,7,0,2,17,31,35,21,18,17,10,4,0,82,70,1,21,6,45,34,6,41
03/06/2020,Friday,3,13,16,0,5,1,3,2,3,1,0,1,7,9,0,2,0,3,5,0,6,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,5,1,1,2,2,1,0,1,7,6,0,2,0,3,2,0,6
03/11/2020,Wednesday,8,57,65,5,14,14,11,10,7,2,1,1,42,20,3,12,4,15,14,2,18,0,2,0,2,3,1,0,0,0,2,6,0,0,0,4,4,0,0,5,12,14,9,7,6,2,1,1,40,14,3,12,4,11,10,2,18
03/04/2020,Wednesday,0,11,11,0,1,4,0,4,0,2,0,0,5,6,0,0,1,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,2,0,0,5,6,0,0,1,1,3,1,5
10/02/2021,Saturday,292,10238,10530,1964,2174,2008,1379,1177,982,501,334,11,5618,4824,88,1458,583,2413,2806,1312,1958,59,47,62,35,43,26,17,3,0,157,135,0,41,10,88,102,27,24,1905,2127,1946,1344,1134,956,484,331,11,5461,4689,88,1417,573,2325,2704,1285,1934
05/03/2020,Sunday,412,1169,1581,69,315,275,249,267,194,118,89,5,754,792,35,457,47,310,203,55,509,11,82,60,68,85,58,24,24,0,199,210,3,205,9,89,39,16,54,58,233,215,181,182,136,94,65,5,555,582,32,252,38,221,164,39,455
09/20/2020,Sunday,113,3310,3423,225,1335,646,329,362,279,165,76,6,1794,1621,8,427,260,593,959,130,1054,12,31,28,12,9,9,9,3,0,52,61,0,38,7,9,50,3,6,213,1304,618,317,353,270,156,73,6,1742,1560,8,389,253,584,909,127,1048
