test_type,year,week_code,week_date,region,detections,tests,outlier
Antigen,1011,1027,2010-07-10,0,0,148,0
Antigen,1011,1028,2010-07-17,0,2,157,0
Antigen,1011,1029,2010-07-24,0,0,127,0
Antigen,1011,1030,2010-07-31,0,1,122,0
Antigen,1011,1031,2010-08-07,0,0,131,0
Antigen,1011,1032,2010-08-14,0,0,168,0
Antigen,1011,1033,2010-08-21,0,1,184,0
Antigen,1011,1034,2010-08-28,0,1,169,0
Antigen,1011,1035,2010-09-04,0,0,201,0
Antigen,1011,1036,2010-09-11,0,0,235,0
Antigen,1011,1037,2010-09-18,0,0,231,0
Antigen,1011,1038,2010-09-25,0,0,221,0
Antigen,1011,1039,2010-10-02,0,2,216,0
Antigen,1011,1040,2010-10-09,0,2,228,0
Antigen,1011,1041,2010-10-16,0,6,279,0
Antigen,1011,1042,2010-10-23,0,5,284,0
Antigen,1011,1043,2010-10-30,0,1,256,0
Antigen,1011,1044,2010-11-06,0,8,212,0
Antigen,1011,1045,2010-11-13,0,7,251,0
Antigen,1011,1046,2010-11-20,0,16,287,0
Antigen,1011,1047,2010-11-27,0,9,226,0
Antigen,1011,1048,2010-12-04,0,14,264,0
Antigen,1011,1049,2010-12-11,0,24,323,0
Antigen,1011,1050,2010-12-18,0,37,343,0
Antigen,1011,1051,2010-12-25,0,61,337,0
Antigen,1011,1052,2011-01-01,0,94,459,0
Antigen,1011,1101,2011-01-08,0,84,402,0
Antigen,1011,1102,2011-01-15,0,85,494,0
Antigen,1011,1103,2011-01-22,0,149,546,0
Antigen,1011,1104,2011-01-29,0,201,707,0
Antigen,1011,1105,2011-02-05,0,155,489,0
Antigen,1011,1106,2011-02-12,0,254,791,0
Antigen,1011,1107,2011-02-19,0,229,830,0
Antigen,1011,1108,2011-02-26,0,207,751,0
Antigen,1011,1109,2011-03-05,0,195,862,0
Antigen,1011,1110,2011-03-12,0,145,915,0
Antigen,1011,1111,2011-03-19,0,122,708,0
Antigen,1011,1112,2011-03-26,0,98,702,0
Antigen,1011,1113,2011-04-02,0,82,655,0
Antigen,1011,1114,2011-04-09,0,59,642,0
Antigen,1011,1115,2011-04-16,0,59,628,0
Antigen,1011,1116,2011-04-23,0,40,443,0
Antigen,1011,1117,2011-04-30,0,21,488,0
Antigen,1011,1118,2011-05-07,0,19,405,0
Antigen,1011,1119,2011-05-14,0,13,402,0
Antigen,1011,1120,2011-05-21,0,14,330,0
Antigen,1011,1121,2011-05-28,0,7,281,0
Antigen,1011,1122,2011-06-04,0,10,287,0
Antigen,1011,1123,2011-06-11,0,7,248,0
Antigen,1011,1124,2011-06-18,0,6,253,0
Antigen,1011,1125,2011-06-25,0,0,208,0
Antigen,1011,1126,2011-07-02,0,1,189,0
Antigen,1011,1027,2010-07-10,0,0,89,0
Antigen,1011,1028,2010-07-17,0,0,85,0
Antigen,1011,1029,2010-07-24,0,2,75,0
Antigen,1011,1030,2010-07-31,0,1,82,0
Antigen,1011,1031,2010-08-07,0,2,88,0
Antigen,1011,1032,2010-08-14,0,0,138,0
Antigen,1011,1033,2010-08-21,0,5,123,0
Antigen,1011,1034,2010-08-28,0,2,157,0
Antigen,1011,1035,2010-09-04,0,7,146,0
Antigen,1011,1036,2010-09-11,0,4,163,0
Antigen,1011,1037,2010-09-18,0,2,228,0
Antigen,1011,1038,2010-09-25,0,5,272,0
Antigen,1011,1039,2010-10-02,0,12,344,0
Antigen,1011,1040,2010-10-09,0,9,383,0
Antigen,1011,1041,2010-10-16,0,17,390,0
Antigen,1011,1042,2010-10-23,0,25,415,0
Antigen,1011,1043,2010-10-30,0,34,448,0
Antigen,1011,1044,2010-11-06,0,47,546,0
Antigen,1011,1045,2010-11-13,0,64,587,0
Antigen,1011,1046,2010-11-20,0,86,696,0
Antigen,1011,1047,2010-11-27,0,135,726,0
Antigen,1011,1048,2010-12-04,0,171,809,0
Antigen,1011,1049,2010-12-11,0,236,986,0
Antigen,1011,1050,2010-12-18,0,253,1108,0
Antigen,1011,1051,2010-12-25,0,277,1234,0
Antigen,1011,1052,2011-01-01,0,280,1192,0
Antigen,1011,1101,2011-01-08,0,275,1296,0
Antigen,1011,1102,2011-01-15,0,193,1057,0
Antigen,1011,1103,2011-01-22,0,189,1148,0
Antigen,1011,1104,2011-01-29,0,220,1112,0
Antigen,1011,1105,2011-02-05,0,179,1064,0
Antigen,1011,1106,2011-02-12,0,179,1121,0
Antigen,1011,1107,2011-02-19,0,158,1082,0
Antigen,1011,1108,2011-02-26,0,172,1053,0
Antigen,1011,1109,2011-03-05,0,131,992,0
Antigen,1011,1110,2011-03-12,0,111,869,0
Antigen,1011,1111,2011-03-19,0,94,815,0
Antigen,1011,1112,2011-03-26,0,52,779,0
Antigen,1011,1113,2011-04-02,0,46,732,0
Antigen,1011,1114,2011-04-09,0,37,599,0
Antigen,1011,1115,2011-04-16,0,32,544,0
Antigen,1011,1116,2011-04-23,0,23,484,0
Antigen,1011,1117,2011-04-30,0,11,330,0
Antigen,1011,1118,2011-05-07,0,8,336,0
Antigen,1011,1119,2011-05-14,0,15,321,0
Antigen,1011,1120,2011-05-21,0,4,218,0
Antigen,1011,1121,2011-05-28,0,7,240,0
Antigen,1011,1122,2011-06-04,0,1,156,0
Antigen,1011,1123,2011-06-11,0,4,165,0
Antigen,1011,1124,2011-06-18,0,3,134,0
Antigen,1011,1125,2011-06-25,0,2,131,0
Antigen,1011,1126,2011-07-02,0,1,107,0
Antigen,1011,1027,2010-07-10,0,17,342,0
Antigen,1011,1028,2010-07-17,0,15,355,0
Antigen,1011,1029,2010-07-24,0,27,335,0
