test_type,year,week_code,week_date,region,detections,tests,outlier
Antigen,1011,1027,2010-07-10,1,0,105,0
Antigen,1011,1028,2010-07-17,1,0,116,0
Antigen,1011,1029,2010-07-24,1,0,84,0
Antigen,1011,1030,2010-07-31,1,0,86,0
Antigen,1011,1031,2010-08-07,1,0,88,0
Antigen,1011,1032,2010-08-14,1,0,99,0
Antigen,1011,1033,2010-08-21,1,0,117,0
Antigen,1011,1034,2010-08-28,1,0,115,0
Antigen,1011,1035,2010-09-04,1,1,134,0
Antigen,1011,1036,2010-09-11,1,1,127,0
Antigen,1011,1037,2010-09-18,1,1,173,0
Antigen,1011,1038,2010-09-25,1,1,224,0
Antigen,1011,1039,2010-10-02,1,1,182,0
Antigen,1011,1040,2010-10-09,1,1,202,0
Antigen,1011,1041,2010-10-16,1,5,193,0
Antigen,1011,1042,2010-10-23,1,3,226,0
Antigen,1011,1043,2010-10-30,1,5,294,0
Antigen,1011,1044,2010-11-06,1,5,259,0
Antigen,1011,1045,2010-11-13,1,12,304,0
Antigen,1011,1046,2010-11-20,1,10,285,0
Antigen,1011,1047,2010-11-27,1,26,326,0
Antigen,1011,1048,2010-12-04,1,21,332,0
Antigen,1011,1049,2010-12-11,1,32,365,0
Antigen,1011,1050,2010-12-18,1,60,410,0
Antigen,1011,1051,2010-12-25,1,45,435,0
Antigen,1011,1052,2011-01-01,1,85,533,0
Antigen,1011,1101,2011-01-08,1,92,576,0
Antigen,1011,1102,2011-01-15,1,74,534,0
Antigen,1011,1103,2011-01-22,1,97,535,0
Antigen,1011,1104,2011-01-29,1,90,536,0
Antigen,1011,1105,2011-02-05,1,79,530,0
Antigen,1011,1106,2011-02-12,1,113,620,0
Antigen,1011,1107,2011-02-19,1,117,641,0
Antigen,1011,1108,2011-02-26,1,97,657,0
Antigen,1011,1109,2011-03-05,1,90,613,0
Antigen,1011,1110,2011-03-12,1,73,652,0
Antigen,1011,1111,2011-03-19,1,65,673,0
Antigen,1011,1112,2011-03-26,1,53,612,0
Antigen,1011,1113,2011-04-02,1,47,523,0
Antigen,1011,1114,2011-04-09,1,28,431,0
Antigen,1011,1115,2011-04-16,1,18,400,0
Antigen,1011,1116,2011-04-23,1,14,345,0
Antigen,1011,1117,2011-04-30,1,16,361,0
